Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	System.exe (V1)	QT6FH2584867	199945236305	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Freezer Burn Funkadelik (V1)	QT6FH2584866	199945236305	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Initiation: Static Flavor Drop (V1)	QT6FH2584856	199945236305	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Dark Reflection	QT6F32551273	199951745433	1	100	Song	AL	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Ad Pontificem Leonis Aperion	QZTBC2538647	199516194126	2	100	Song	US	0	0.00145956	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	The Bleatrix Paradix (V1)	QZTBC2501484	199516361207	2	100	Song	US	0	0.00145956	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Evolution Will Not Be Televised (V4)	QT6G92598614	199938353361	1	100	Song	SN	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Evolution Will Not Be Televised (V2)	QT6G92598612	199938353361	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Evolution Will Not Be Televised (V1)	QT6G92598611	199938353361	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Tithes and Tributes (Get in the Sack)	QT6G62543850	199939922382	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	2	100	Song	BR	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	2	100	Song	ID	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	MX	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	PE	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	PH	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Stock-King Ledger (Get in the Sack)	QT6G62543847	199939922382	2	100	Song	PK	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Opening the Ledger (Get in the Sack)	QT6G62543845	199939922382	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Strings of the Sovereign (Descent)	QT6G62543841	199939922382	1	100	Song	BR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Carol of Compliance (Descent)	QT6G62543839	199939922382	1	100	Song	BR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	My Scars (D5)	QT6G22541610	199941757774	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V9)	QT6FP2500943	199943309551	6	100	Song	US	0	0.00547335	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V7)	QT6FP2500941	199943309551	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V3)	QT6FP2500937	199943309551	3	100	Song	FR	0	0.00273667	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V3)	QT6FP2500937	199943309551	1	100	Song	PT	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V3)	QT6FP2500937	199943309551	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Seed (V1)	QT6FL2551925	199944032038	1	100	Song	EC	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Seed (V1)	QT6FL2551925	199944032038	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Fuel Between Both (V2)	QT6FL2528363	199944140368	1	100	Song	CI	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Delete System32 (Interlude) (V2)	QT6FL2528353	199944140368	1	100	Song	IM	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Hall of Broken Mirrors (V2)	QT6FL2528350	199944140368	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Echo Echo Echo (V1)	QT6FL2528346	199944140368	1	100	Song	ID	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Outro: Echo of the Architect (V1)	QT6FL2528345	199944140368	1	100	Song	TJ	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Emotion Emulator (V1)	QT6FL2528341	199944140368	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Intro Intro Intro (V1)	QT6FL2528330	199944140368	1	100	Song	UA	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Please Take a Survey (V3)	QT6FL2524596	199944154419	7	100	Song	US	0	0.00638557	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Please Take A Survey	QT6FL2524588	199944154419	1	100	Song	GB	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Please Take A Survey	QT6FL2524588	199944154419	3	100	Song	US	0	0.00273667	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Unbirthday Lawsuit	QT6FK2571172	199944405757	1	100	Song	BR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Cheshire Brand Consultant	QT6FK2571169	199944405757	1	100	Song	TR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gaslight in a Bottle	QT6FK2571165	199944405757	1	100	Song	DE	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gaslight in a Bottle	QT6FK2571165	199944405757	1	100	Song	RO	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Clocked Out White Rabbit	QT6FK2571162	199944405757	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Bigger Badder Wolf (V2)	QT6FK2558451	199944457299	11	100	Song	US	0	0.01003447	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Dumbland	QT6FK2558375	199944459156	1	100	Song	AR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Dumbland	QT6FK2558375	199944459156	1	100	Song	MX	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Mutually Aversive Definitively and Definitely (M.A.D.D.) (V4)	QT6FK2558371	199944459156	1	100	Song	NL	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Mutually Aversive Definitively and Definitely (M.A.D.D.) (V4)	QT6FK2558371	199944459156	1	100	Song	TR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Clown Carving (V2)	QT6FK2558364	199944459156	1	100	Song	ID	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Old Beef Sammiches (V2)	QT6FK2558360	199944459156	1	100	Song	BR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Court of Hyaenas (V2)	QT6FK2558359	199944459156	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Hollow Technician (V2)	QT6FK2558358	199944459156	2	100	Song	PH	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Clown Carving (V1)	QT6FK2558353	199944459156	1	100	Song	ID	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Clown Carving (V1)	QT6FK2558353	199944459156	1	100	Song	PH	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Clown Carving (V1)	QT6FK2558353	199944459156	3	100	Song	US	0	0.00273667	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Court of Hyaenas (V1)	QT6FK2558348	199944459156	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Liminal Leanicism (V2)	QT6FK2558240	199944470793	1	100	Song	NP	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Liminal Leanicism (V1)	QT6FK2558239	199944470793	1	100	Song	TH	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Liminal Leanicism (V1)	QT6FK2558239	199944470793	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Hold My Other Beer (V4)	QT6FK2555678	199944471509	3	100	Song	US	0	0.00273667	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Hold My Other Beer (V3)	QT6FK2555677	199944471509	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	What's Beautiful (V2)	QT6FJ2592884	199945210749	2	100	Song	DE	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Desert Oblation (V2)	QT6FJ2592882	199945210749	5	100	Song	US	0	0.00456112	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Light (V2)	QT6FJ2592880	199945210749	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Heat Death (V1)	QT6FH2587158	199945226528	1	100	Song	SE	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Rebel Sun (V3)	QT6FH2586980	199945229925	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Rebel Sun (V2)	QT6FH2586979	199945229925	2	100	Song	US	0	0.00182445	0.00000000
